Hypothesis File: output_preprocessing.tgt_after_adding_sentence_id
Reference File: post_edition_after_tokenizing_lowercasing.tgt_after_adding_sentence_id
Ave-Reference File: 
            Sent Id |  Ins |  Del |  Sub | Shft | WdSh |  NumEr |  AvNumWd |      TER
 (id_TEST_WMT_31):0 |    3 |    0 |    1 |    0 |    0 |    4.0 |   14.000 |   28.571
 (id_TEST_WMT_32):0 |    7 |    0 |    6 |    2 |    3 |   15.0 |   48.000 |   31.250
 (id_TEST_WMT_33):0 |    1 |    2 |    1 |    1 |    1 |    5.0 |   28.000 |   17.857
 (id_TEST_WMT_34):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   13.000 |    0.000
 (id_TEST_WMT_35):0 |    0 |    1 |    0 |    0 |    0 |    1.0 |    7.000 |   14.286
 (id_TEST_WMT_36):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   19.000 |    0.000
 (id_TEST_WMT_37):0 |    0 |    1 |    1 |    0 |    0 |    2.0 |   14.000 |   14.286
 (id_TEST_WMT_38):0 |    2 |    0 |    1 |    0 |    0 |    3.0 |   14.000 |   21.429
 (id_TEST_WMT_39):0 |    0 |    0 |    4 |    1 |    1 |    5.0 |   23.000 |   21.739
 (id_TEST_WMT_40):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   13.000 |    0.000
 (id_TEST_WMT_41):0 |    0 |    2 |    3 |    1 |    1 |    6.0 |    8.000 |   75.000
 (id_TEST_WMT_42):0 |    0 |    5 |    5 |    2 |    3 |   12.0 |   19.000 |   63.158
 (id_TEST_WMT_43):0 |    0 |    1 |    5 |    1 |    1 |    7.0 |   17.000 |   41.176
 (id_TEST_WMT_44):0 |    1 |    2 |    8 |    1 |    1 |   12.0 |   29.000 |   41.379
 (id_TEST_WMT_45):0 |    2 |    0 |    3 |    1 |    1 |    6.0 |   46.000 |   13.043
 (id_TEST_WMT_46):0 |    0 |    0 |    0 |    0 |    0 |    0.0 |   12.000 |    0.000
 (id_TEST_WMT_47):0 |    2 |    0 |    4 |    1 |    1 |    7.0 |   15.000 |   46.667
